ml_edge_min,ml_edge_max,favorites_only,rolling_weight_7,rating_cap_low,rating_cap_high,w_rolling_off,w_woba,w_xwoba,w_k_off,w_bb_off,w_rolling_pit,w_fip,w_xfip,w_k_pit,w_bb_pit,rolling_weight_15,n_bets,win_rate,roi,profit,run_date,seed,n_trials,run_time_mins
0.04,0.15,True,0.6,0.65,1.3,0.37499999999999994,0.125,0.0,0.125,0.37499999999999994,0.30000000000000004,0.30000000000000004,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.4,1838,0.568,-4.1544,-7635.84,2026-05-17,58703,100,93.7
0.05,0.15,False,0.8,0.6,1.4,0.2,0.2,0.0,0.4,0.2,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.19999999999999996,3135,0.445,-4.2176,-13222.33,2026-05-17,58703,100,93.7
0.05,0.15,False,0.8,0.65,1.3,0.2727272727272727,0.2727272727272727,0.0,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.19999999999999996,3186,0.4583,-4.2559,-13559.43,2026-05-17,58703,100,93.7
0.06,0.1,False,0.8,0.6,1.4,0.2727272727272727,0.18181818181818182,0.0,0.2727272727272727,0.2727272727272727,0.15384615384615385,0.23076923076923075,0.23076923076923075,0.15384615384615385,0.23076923076923075,0.19999999999999996,1541,0.4627,-4.3677,-6730.64,2026-05-17,58703,100,93.7
0.07,1.0,True,0.7,0.6,1.4,0.12500000000000003,0.375,0.0,0.375,0.12500000000000003,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.30000000000000004,472,0.536,-4.7442,-2239.28,2026-05-17,58703,100,93.7
0.07,0.1,True,0.6,0.65,1.5,0.33333333333333337,0.11111111111111113,0.0,0.33333333333333337,0.22222222222222227,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.4,489,0.5644,-4.7963,-2345.39,2026-05-17,58703,100,93.7
0.04,1.0,False,0.6,0.7,1.4,0.375,0.25000000000000006,0.0,0.25000000000000006,0.12500000000000003,0.30000000000000004,0.30000000000000004,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.4,5225,0.467,-4.8039,-25100.62,2026-05-17,58703,100,93.7
0.06,0.15,True,0.8,0.7,1.3,0.2,0.3,0.0,0.3,0.2,0.30000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.19999999999999996,1152,0.553,-4.8073,-5537.99,2026-05-17,58703,100,93.7
0.06,0.1,False,0.7,0.7,1.3,0.2,0.2,0.0,0.4,0.2,0.20000000000000004,0.30000000000000004,0.10000000000000002,0.30000000000000004,0.10000000000000002,0.30000000000000004,1578,0.448,-4.9126,-7752.11,2026-05-17,58703,100,93.7
0.05,0.15,False,0.8,0.65,1.3,0.14285714285714288,0.14285714285714288,0.0,0.28571428571428575,0.4285714285714286,0.3,0.1,0.2,0.1,0.3,0.19999999999999996,3249,0.4463,-4.9633,-16125.82,2026-05-17,58703,100,93.7
0.05,0.15,False,0.8,0.6,1.4,0.27272727272727276,0.27272727272727276,0.0,0.27272727272727276,0.18181818181818185,0.12500000000000003,0.25000000000000006,0.12500000000000003,0.375,0.12500000000000003,0.19999999999999996,3181,0.4514,-5.0894,-16189.41,2026-05-17,58703,100,93.7
0.04,0.1,False,0.7,0.65,1.3,0.2727272727272727,0.18181818181818182,0.0,0.2727272727272727,0.2727272727272727,0.10000000000000002,0.30000000000000004,0.30000000000000004,0.20000000000000004,0.10000000000000002,0.30000000000000004,2600,0.4515,-5.308,-13800.71,2026-05-17,58703,100,93.7
0.04,1.0,False,0.6,0.65,1.3,0.33333333333333337,0.33333333333333337,0.0,0.11111111111111113,0.22222222222222227,0.3,0.1,0.1,0.3,0.2,0.4,5074,0.459,-5.5544,-28183.13,2026-05-17,58703,100,93.7
0.04,1.0,False,0.8,0.7,1.6,0.2,0.4,0.0,0.2,0.2,0.16666666666666669,0.16666666666666669,0.33333333333333337,0.16666666666666669,0.16666666666666669,0.19999999999999996,4449,0.4318,-5.7325,-25503.7,2026-05-17,58703,100,93.7
0.07,1.0,False,0.8,0.65,1.5,0.25,0.25,0.0,0.25,0.25,0.15384615384615385,0.23076923076923075,0.23076923076923075,0.15384615384615385,0.23076923076923075,0.19999999999999996,3117,0.4225,-5.9444,-18528.74,2026-05-17,58703,100,93.7
0.06,1.0,False,0.7,0.65,1.4,0.28571428571428575,0.4285714285714286,0.0,0.14285714285714288,0.14285714285714288,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.30000000000000004,3677,0.4395,-5.9859,-22010.18,2026-05-17,58703,100,93.7
0.04,1.0,False,0.7,0.6,1.5,0.16666666666666669,0.5,0.0,0.16666666666666669,0.16666666666666669,0.3,0.1,0.2,0.1,0.3,0.30000000000000004,4765,0.4439,-6.1118,-29122.81,2026-05-17,58703,100,93.7
0.05,0.08,True,0.5,0.6,1.6,0.3333333333333333,0.3333333333333333,0.0,0.22222222222222224,0.11111111111111112,0.125,0.37499999999999994,0.125,0.125,0.25,0.5,651,0.5515,-6.5813,-4284.44,2026-05-17,58703,100,93.7
0.03,0.08,False,0.8,0.65,1.4,0.30000000000000004,0.30000000000000004,0.0,0.30000000000000004,0.10000000000000002,0.12500000000000003,0.12500000000000003,0.25000000000000006,0.375,0.12500000000000003,0.19999999999999996,2521,0.4633,-6.6509,-16766.97,2026-05-17,58703,100,93.7
0.07,1.0,False,0.7,0.65,1.3,0.375,0.12500000000000003,0.0,0.375,0.12500000000000003,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.30000000000000004,3554,0.435,-6.9828,-24817.01,2026-05-17,58703,100,93.7
0.07,0.1,False,0.6,0.7,1.3,0.3,0.1,0.0,0.3,0.3,0.09999999999999998,0.19999999999999996,0.29999999999999993,0.29999999999999993,0.09999999999999998,0.4,1091,0.4235,-9.0566,-9880.75,2026-05-17,58703,100,93.7
