ml_edge_min,ml_edge_max,favorites_only,rolling_weight_7,rating_cap_low,rating_cap_high,w_rolling_off,w_woba,w_xwoba,w_k_off,w_bb_off,w_rolling_pit,w_fip,w_xfip,w_k_pit,w_bb_pit,rolling_weight_15,n_bets,win_rate,roi,profit
0.06,1.0,True,0.7,0.6,1.6,0.4285714285714286,0.14285714285714288,0.0,0.14285714285714288,0.28571428571428575,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.30000000000000004,1549,0.5662,-2.8222,-4371.64
0.06,0.2,True,0.8,0.6,1.4,0.28571428571428575,0.14285714285714288,0.0,0.28571428571428575,0.28571428571428575,0.15384615384615385,0.15384615384615385,0.23076923076923075,0.23076923076923075,0.23076923076923075,0.19999999999999996,1102,0.559,-2.8979,-3193.51
0.04,1.0,True,0.7,0.7,1.3,0.16666666666666669,0.33333333333333337,0.0,0.33333333333333337,0.16666666666666669,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.30000000000000004,1573,0.5588,-2.8985,-4559.26
0.04,0.15,False,0.5,0.7,1.5,0.125,0.25,0.0,0.25,0.37499999999999994,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,3518,0.4335,-2.9695,-10446.6
0.06,0.15,True,0.5,0.65,1.3,0.11111111111111113,0.33333333333333337,0.0,0.33333333333333337,0.22222222222222227,0.14285714285714288,0.28571428571428575,0.14285714285714288,0.14285714285714288,0.28571428571428575,0.5,593,0.5481,-2.9775,-1765.67
0.07,0.1,True,0.7,0.7,1.3,0.4285714285714286,0.28571428571428575,0.0,0.14285714285714288,0.14285714285714288,0.2222222222222222,0.1111111111111111,0.33333333333333326,0.1111111111111111,0.2222222222222222,0.30000000000000004,570,0.5807,-2.9934,-1706.22
0.06,0.2,True,0.6,0.65,1.5,0.33333333333333337,0.22222222222222227,0.0,0.11111111111111113,0.33333333333333337,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.4,1276,0.5635,-3.0231,-3857.51
0.03,0.08,True,0.7,0.6,1.4,0.33333333333333337,0.33333333333333337,0.0,0.16666666666666669,0.16666666666666669,0.22222222222222227,0.33333333333333337,0.22222222222222227,0.11111111111111113,0.11111111111111113,0.30000000000000004,1181,0.5809,-3.0871,-3645.91
0.07,0.08,False,0.5,0.65,1.5,0.3,0.2,0.0,0.2,0.3,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.5,438,0.4658,-3.1493,-1379.38
0.07,0.2,False,0.5,0.65,1.5,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.5,2730,0.4546,-3.2844,-8966.44
0.07,0.2,True,0.6,0.7,1.5,0.2,0.3,0.0,0.2,0.3,0.33333333333333337,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.4,1100,0.5591,-3.3485,-3683.31
0.05,0.2,True,0.7,0.6,1.3,0.4,0.2,0.0,0.2,0.2,0.25,0.25,0.25,0.125,0.125,0.30000000000000004,1918,0.5699,-3.4191,-6557.87
