game_date,home_team,away_team,snapshot_label,snapshot_logged_at,fd_home_ml,fd_away_ml,market_prob_home,market_prob_away,home_win,residual
2021-04-25,TB,TOR,historical,,106.0,-124.0,0.467212,0.532788,0,-0.467212
2021-04-25,DET,KC,historical,,-102.0,-116.0,0.484603,0.515397,0,-0.484603
2021-04-25,MIN,PIT,historical,,-210.0,176.0,0.651529,0.348471,0,-0.651529
2021-04-25,HOU,LAA,historical,,-152.0,128.0,0.57899,0.42101,0,-0.57899
2021-04-25,CHW,TEX,historical,,-194.0,162.0,0.633544,0.366456,1,0.366456
2021-04-25,STL,CIN,historical,,-132.0,112.0,0.546733,0.453267,1,0.453267
2021-04-25,CHC,MIL,historical,,114.0,-134.0,0.449343,0.550657,0,-0.449343
2021-04-25,COL,PHI,historical,,-124.0,106.0,0.532788,0.467212,1,0.467212
2021-04-25,SF,MIA,historical,,100.0,100.0,0.5,0.5,1,0.5
2021-04-25,LAD,SD,historical,,-126.0,108.0,0.536961,0.463039,0,-0.536961
2021-04-26,DET,KC,historical,,-112.0,-104.0,0.508909,0.491091,0,-0.508909
2021-04-26,BAL,NYY,historical,,138.0,-164.0,0.403472,0.596528,1,0.596528
2021-04-26,TB,OAK,historical,,-106.0,-110.0,0.495548,0.504452,0,-0.495548
2021-04-26,ATL,CHC,historical,,-200.0,168.0,0.641148,0.358852,1,0.358852
2021-04-26,MIL,MIA,historical,,-166.0,140.0,0.599639,0.400361,0,-0.599639
2021-04-26,STL,PHI,historical,,-110.0,-106.0,0.504452,0.495548,0,-0.504452
2021-04-26,TEX,LAA,historical,,134.0,-158.0,0.411011,0.588989,0,-0.411011
2021-04-26,HOU,SEA,historical,,-178.0,150.0,0.615491,0.384509,1,0.384509
2021-04-26,SF,COL,historical,,-176.0,148.0,0.612621,0.387379,1,0.387379
2021-04-26,LAD,CIN,historical,,-194.0,162.0,0.633544,0.366456,0,-0.633544
2021-04-27,PIT,KC,historical,,-104.0,-112.0,0.491091,0.508909,1,0.508909
2021-04-27,BAL,NYY,historical,,152.0,-180.0,0.381679,0.618321,0,-0.381679
2021-04-27,TOR,WAS,historical,,104.0,-122.0,0.471458,0.528542,1,0.528542
2021-04-27,TB,OAK,historical,,-118.0,100.0,0.519824,0.480176,1,0.480176
2021-04-27,NYM,BOS,historical,,-154.0,130.0,0.582374,0.417626,0,-0.582374
2021-04-27,ATL,CHC,historical,,-178.0,150.0,0.615491,0.384509,1,0.384509
2021-04-27,MIL,MIA,historical,,-146.0,126.0,0.572887,0.427113,1,0.427113
2021-04-27,STL,PHI,historical,,102.0,-120.0,0.475779,0.524221,1,0.524221
2021-04-27,TEX,LAA,historical,,138.0,-164.0,0.403472,0.596528,1,0.596528
2021-04-27,HOU,SEA,historical,,-210.0,176.0,0.651529,0.348471,1,0.348471
2021-04-27,CHW,DET,historical,,-260.0,215.0,0.694656,0.305344,0,-0.694656
2021-04-27,ARI,SD,historical,,120.0,-142.0,0.436508,0.563492,1,0.563492
2021-04-27,SF,COL,historical,,-172.0,144.0,0.606755,0.393245,0,-0.606755
