season,player_id,name,bats,throws
2022,gonzo001,Oscar Gonzalez,R,R
2022,gonzr003,Romy Gonzalez,R,R
2022,goodn002,Niko Goodrum,B,R
2022,gordd002,Dee Strange-Gordon,L,R
2022,gordn001,Nick Gordon,L,R
2022,gorem001,MacKenzie Gore,L,L
2022,goret001,Terrance Gore,R,R
2022,gormn001,Nolan Gorman,L,R
2022,gosea001,Anthony Gose,L,L
2022,gossp001,Phil Gosselin,R,R
2022,gottt001,Trevor Gott,R,R
2022,gouda001,Ashton Goudeau,R,R
2022,grany001,Yasmani Grandal,B,R
2022,gratb002,Brusdar Graterol,R,R
2022,gravk001,Kendall Graveman,R,R
2022,grayj003,Jon Gray,R,R
2022,grayj004,Josiah Gray,R,R
2022,grays001,Sonny Gray,R,R
2022,greec003,Chad Green,L,R
2022,greeh001,Hunter Greene,R,R
2022,greer003,Riley Greene,L,L
2022,grees005,Shane Greene,R,R
2022,gregd001,Didi Gregorius,L,R
2022,greig001,Grayson Greiner,R,R
2022,greiz001,Zack Greinke,R,R
2022,gricr001,Randal Grichuk,R,R
2022,griff001,Foster Griffin,R,L
2022,grimj002,Justin Grimm,R,R
2022,grist001,Trent Grisham,L,L
2022,grisv001,Vaughn Grissom,R,R
2022,grosj001,Jordan Groshans,R,R
2022,grosr001,Robbie Grossman,B,L
2022,grovm001,Michael Grove,R,R
2022,gselr001,Robert Gsellman,R,R
2022,guerj004,Javy Guerra,L,R
2022,guerv002,Vladimir Guerrero,R,R
2022,guill001,Luis Guillorme,L,R
2022,gurrl001,Lourdes Gurriel,R,R
2022,gurry001,Yuli Gurriel,R,R
2022,gustj001,Jandel Gustave,R,R
2022,guthd001,Dalton Guthrie,R,R
2022,gutik001,Kelvin Gutierrez,R,R
2022,gutiv001,Vladimir Gutierrez,R,R
2022,guzmr001,Ronald Guzman,L,L
2022,haase001,Eric Haase,R,R
2022,hadej001,Josh Hader,L,L
2022,hagej001,Jake Hager,R,R
2022,haggs001,Sam Haggerty,B,R
2022,halld003,Darick Hall,L,R
2022,halld004,DL Hall,L,L
2022,hamib001,Billy Hamilton,R,R
2022,hamic001,Caleb Hamilton,R,R
2022,hamii001,Ian Hamilton,R,R
2022,hampg001,Garrett Hampson,R,R
2022,handb001,Brad Hand,L,L
2022,hanim001,Mitch Haniger,R,R
2022,happi001,Ian Happ,B,R
2022,harpb003,Bryce Harper,L,R
2022,harrj002,Josh Harrison,R,R
2022,harrm003,Monte Harrison,R,R
2022,harrm004,Michael Harris,L,L
2022,harvh001,Hunter Harvey,R,R
2022,hasea001,Adam Haseley,L,L
2022,hatct001,Thomas Hatch,R,R
2022,hayek001,Ke'Bryan Hayes,R,R
2022,haysa001,Austin Hays,R,R
2022,headl001,Louis Head,R,R
2022,heana001,Andrew Heaney,L,L
2022,heart001,Taylor Hearn,L,L
2022,heasj001,Jonathan Heasley,R,R
2022,hedga001,Austin Hedges,R,R
2022,heimj001,Jonah Heim,B,R
2022,heint001,Tyler Heineman,B,R
2022,helsr001,Ryan Helsley,R,R
2022,hembh001,Heath Hembree,R,R
2022,hendg002,Gunnar Henderson,L,R
2022,hendk001,Kyle Hendricks,R,R
2022,hendl001,Liam Hendriks,R,R
2022,hendr003,Ryan Hendrix,R,R
2022,henrp001,Payton Henry,R,R
2022,henrr001,Ronny Henriquez,R,R
2022,henrt001,Tommy Henry,L,L
2022,hensd002,David Hensley,R,R
2022,hents001,Sam Hentges,L,L
2022,hereg002,Guillermo Heredia,R,L
2022,hergj001,Jimmy Herget,R,R
2022,hergk001,Kevin Herget,L,R
2022,hermm001,Michael Hermosillo,R,R
2022,hernc005,Cesar Hernandez,B,R
2022,hernc006,Carlos Hernandez,R,R
2022,hernd004,Darwinzon Hernandez,L,L
2022,herne001,Enrique Hernandez,R,R
2022,herne002,Elieser Hernandez,R,R
2022,herne003,Elier Hernandez,R,R
2022,hernj004,Jonathan Hernandez,R,R
2022,hernt002,Teoscar Hernandez,R,R
2022,herny002,Yadiel Hernandez,L,R
2022,herny003,Yonny Hernandez,B,R
2022,herri001,Ivan Herrera,R,R
2022,herrj003,Jose Herrera,B,R
2022,herro001,Odubel Herrera,L,R
2022,heywj001,Jason Heyward,L,L
2022,hicka001,Aaron Hicks,B,R
2022,hickb003,Brewer Hicklen,R,R
2022,hickj002,Jordan Hicks,R,R
2022,higak001,Kyle Higashioka,R,R
2022,higgp001,P. J. Higgins,R,R
2022,hilld002,Derek Hill,R,R
2022,hillg002,Garrett Hill,R,R
2022,hillr001,Rich Hill,L,L
2022,hills005,Sam Hilliard,L,L
2022,hillt002,Tim Hill,R,L
2022,hiurk001,Keston Hiura,R,R
2022,hjels001,Sean Hjelle,R,R
2022,hoeib001,Bryan Hoeing,R,R
2022,hoern001,Nico Hoerner,R,R
2022,hoffj003,Jeff Hoffman,R,R
2022,holdc001,Colin Holderman,R,R
2022,hollg001,Greg Holland,R,R
2022,hollg002,Gavin Hollowell,R,R
2022,hollj002,Jordan Holloway,R,R
2022,holmc001,Clay Holmes,R,R
2022,holtt002,Tyler Holton,L,L
2022,hoskr001,Rhys Hoskins,R,R
2022,hosme001,Eric Hosmer,L,L
2022,houct001,Tanner Houck,R,R
2022,housa001,Adrian Houser,R,R
2022,howas002,Sam Howard,R,L
2022,howas003,Spencer Howard,R,R
2022,hudsd001,Daniel Hudson,R,R
2022,hudsd002,Dakota Hudson,R,R
2022,huffs001,Sam Huff,R,R
2022,hughb002,Brandon Hughes,B,L
2022,hummc001,Cooper Hummel,B,R
2022,huntt002,Tommy Hunter,R,R
2022,hutcd001,Drew Hutchison,L,R
2022,ibana001,Andy Ibanez,R,R
2022,iglej001,Jose Iglesias,R,R
2022,igler001,Raisel Iglesias,R,R
2022,incie001,Ender Inciarte,L,L
2022,indij001,Jonathan India,R,R
2022,irvic001,Cole Irvin,L,L
2022,isbek001,Kyle Isbel,L,R
2022,jacka002,Alex Jackson,R,R
2022,jacka003,Andre Jackson,R,R
2022,jackd004,Drew Jackson,R,R
2022,jackj001,Jay Jackson,R,R
2022,jackz002,Zach Jackson,R,R
2022,jamed003,Drey Jameson,R,R
2022,jankt001,Travis Jankowski,L,R
2022,jansd001,Danny Jansen,R,R
2022,jansk001,Kenley Jansen,B,R
2022,javic001,Cristian Javier,R,R
2022,jax-g001,Griffin Jax,R,R
2022,jeffd001,Daulton Jefferies,L,R
2022,jeffr002,Ryan Jeffers,R,R
2022,jimed002,Dany Jimenez,R,R
2022,jimee001,Eloy Jimenez,R,R
2022,jimej003,Joe Jimenez,R,R
2022,joe-c001,Connor Joe,R,R
2022,johnb005,Bryce Johnson,B,R
2022,johnp001,Pierce Johnson,R,R
2022,joned003,Damon Jones,L,L
2022,jonen002,Nolan Jones,L,R
2022,jonet005,Taylor Jones,R,R
2022,judga001,Aaron Judge,R,R
2022,jungj001,Josh Jung,R,R
2022,junij001,Jakob Junis,R,R
2022,junkj001,Janson Junk,R,R
2022,kahnt001,Tommy Kahnle,R,R
2022,kaprj001,James Kaprielian,R,R
2022,karij001,James Karinchak,R,R
2022,katog001,Gosuke Katoh,L,R
2022,kay-a001,Anthony Kay,L,L
